source_data_name,problem_type,difficulty,achievement_standard_code,achievement_standard_text,chapter_major,chapter_middle,chapter_minor,problem_subtype,question_text,question_with_options,question_image_bbox,answer,explanation,option_type,extraction_status,recovered_answer,answer_match,image_regions
S3_중등_2_001640,객관식,중,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,1. 유리수의 소수 표현,유리수와 소수 표현의 관계,다음 수에 대한 설명으로 옳은 것은?,"$-\frac{7}{20}, \quad \pi, \quad 8, \quad \frac{4}{9}, \quad 0, \quad-1, \quad 5. 123, \quad \frac{6}{3}$","[[43.23, 40.53, 437.47, 106.06]]",④ 정수가 아닌 유리수는 3 개이다.,"④ 정수가 아닌 유리수는 $-\frac{7}{20}, \frac{4}{9}, 5. 123$의 3 개이다.",,,,,
S3_중등_2_001641,객관식,중,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,1. 유리수의 소수 표현,유한소수 판별 - 분모의 소인수 조건,"다음 분수를 소수로 나타낼 때, 유한소수가 아닌 것은?","다음 분수를 소수로 나타낼 때, 유한소수가 아닌 것은? ① $\frac{12}{2^{3} \times 3}$ ② $\frac{51}{5^{2} \times 17}$ ④ $\frac{39}{2^{2} \times 5 \times 13}$ ⑤ $\frac{28}{2 \times 5^{2} \times 7}$ $\frac{18}{3^{3} \times 5}$","[[58.6, 16.34, 525, 184.03]]",$\frac{18}{3^{3} \times 5}$,"기약분수의 분모의 소인수가 2 나 5 뿐이면 유한소수이다. ① $\frac{12}{2^{3} \times 3}=\frac{1}{2}$, 유한소수 ② $\frac{51}{5^{2} \times 17}=\frac{3}{5^{2}}$, 유한소수 ③ $\frac{18}{3^{3} \times 5}=\frac{2}{3 \times 5}$, 무한소수 ④ $\frac{39}{2^{2} \times 5 \times 13}=\frac{2}{2^{2} \times 5}$, 유한소수 ⑤ $\frac{28}{2 \times 5^{2} \times 7}=\frac{2}{5^{2}}$ 유한소수",mixed_with_image,recovered,$\frac{18}{3^{3} \times 5}$,True,"[{""class_name"": ""정답(이미지)"", ""bbox"": [416.0, 68.0, 484.0, 120.0]}]"
S3_중등_2_001642,객관식,하,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,1. 유리수의 소수 표현,유한소수 판별 - 분모의 소인수 조건,다음 중 순환소수로 나타내어지는 분수는?,다음 중 순환소수로 나타내어지는 분수는? ① $\frac{3}{15}$ ② $\frac{18}{120}$ ③ $\frac{63}{180}$ ④ $\frac{33}{2^{3} \times 3 \times 11}$ ⑤ $\frac{21}{3 \times 5^{2} \times 7^{2}}$,"[[59.26, 28.9, 446.01, 182.87]]",⑤ $\frac{21}{3 \times 5^{2} \times 7^{2}}$,① $\frac{1}{5}$ ② $\frac{3}{2^{2} \times 5}$ ③ $\frac{7}{2^{2} \times 5}$ ④ $\frac{1}{2^{3}}$ ⑤ $\frac{1}{5^{2} \times 7}$,text,recovered,⑤ $\frac{21}{3 \times 5^{2} \times 7^{2}}$,True,
S3_중등_2_001643,객관식,하,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,2. 순환소수의 분수 표현,순환소수를 분수로 변환 - 식 세우기,"순환소수 $1. 23 \dot{5}$를 분수로 나타내려고 한다. $x=1. 23 \dot{5}$라고 할 때, 다음 중 필요한 식은?","순환소수 $1. 23 \dot{5}$를 분수로 나타내려고 한다. $x=1. 23 \dot{5}$라고 할 때, 다음 중 필요한 식은? ① $100 x-x$ ② $100 x-10 x$ ③ $1000 x-x$ ④ $1000 x-10 x$ $1000x-100x$","[[55.5, 17.42, 534.5, 196.0]]",$1000x-100x$,"$\begin{array}{l}x=1. 23555 \cdots \text { 에서 } \\ 1000 x=1235. 555 \cdots, 100 x=123. 555 \cdots \text { 이므로 } \\ 1000 x-100 x=1112 \text { 에서 } 900 x=1112 \text { 이다. }\end{array}$",mixed_with_image,recovered,$1000x-100x$,True,"[{""class_name"": ""정답(이미지)"", ""bbox"": [85.0, 170.0, 220.0, 196.0]}]"
S3_중등_2_001644,객관식,하,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,2. 순환소수의 분수 표현,순환소수의 크기 비교와 범위 판단,다음 중 부등식 $\frac{1}{9}<x<\frac{1}{3}$을 만족시키는 $x$의 값을 모 두 구하시오.,"네모 박스에 다음과 같은 숫자가 들어있다.$0. \dot{1}$$0. \dot{2}$ $0.2 \dot{7}$, $0. \dot{4}$","[[59.0, 102.0, 529.0, 161.0]]","$0. \dot{2}, 0. 2 \dot{7}$","$0. \dot{1}=\frac{1}{9}, 0. \dot{2}=\frac{2}{9}, 0. 2 \dot{7}=\frac{5}{18}, 0. \dot{3}=\frac{1}{3}, 0. \dot{4}=\frac{4}{9}$ 이므로 $x$가 될 수 있는 것은 $0. \dot{2}, 0, 2 \dot{7}$ 이다.",,,,,
S3_중등_2_001645,객관식,하,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,2. 순환소수의 분수 표현,순환소수를 분수로 변환 - 계산 판별,다음 중 순환소수를 분수로 나타내는 과정으로 옳은 것은?,다음 중 순환소수를 분수로 나타내는 과정으로 옳은 것은? ① $0. \dot{1}=\frac{1}{10}$ ② $1. \dot{5} \dot{2}=\frac{152}{99}$ ③ $0. 1 \dot{3}=\frac{13-1}{9}$ ④ $0. 1 \dot{2} \dot{3}=\frac{123-1}{99}$ $ 1.0 \dot{6} =\frac{106-10}{90}$,"[[53.82, 22.41, 533.18, 275.0]]",$ 1.0 \dot{6} =\frac{106-10}{90}$,① $0. \dot{1}=\frac{1}{9}$ ② $1. \dot{5} \dot{2}=\frac{152-1}{99}$ ③ $0. 1 \dot{3}=\frac{13-1}{90}$ ④ $0. 1 \dot{2} \dot{3}=\frac{123-1}{990}$,mixed_with_image,recovered,$ 1.0 \dot{6} =\frac{106-10}{90}$,True,"[{""class_name"": ""정답(이미지)"", ""bbox"": [91.0, 226.0, 251.0, 275.0]}]"
S3_중등_2_001646,객관식,중,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,2. 순환소수의 분수 표현,순환소수를 분수로 변환 - 계산 판별,다음 중 순환소수를 분수로 나타낸 것으로 옳지 않은 것은?,다음 중 순환소수를 분수로 나타낸 것으로 옳지 않은 것은? ① $0. \ddot{2} \dot{6}=\frac{26}{99}$ ③ $1. 8 \dot{9} \dot{3}=\frac{125}{66}$ ④ $3. \ddot{4} \dot{5}=\frac{38}{11}$ ⑤ $1. \dot{0} 2 \dot{7}=\frac{38}{37}$ $0.4 \dot{3} =\frac{13}{33}$,"[[54, 22.42, 528, 207.0]]",$0.4 \dot{3} =\frac{13}{33}$,② $0. 4 \dot{3}=\frac{43-4}{90}=\frac{39}{90}=\frac{13}{30}$ ③ $1. 8 \dot{9} \dot{3}=\frac{1893-18}{990}=\frac{1875}{990}=\frac{125}{66}$ ④ $3. \dot{4} \dot{5}=\frac{345-3}{99}=\frac{342}{99}=\frac{38}{11}$ ⑤ $1. \dot{0} 2 \dot{\overline{7}}=\frac{1027-1}{999}=\frac{1026}{999}=\frac{38}{37}$,mixed_with_image,recovered,$0.4 \dot{3} =\frac{13}{33}$,True,"[{""class_name"": ""정답(이미지)"", ""bbox"": [239.0, 107.0, 343.0, 150.0]}]"
S3_중등_2_001647,객관식,하,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,1. 유리수의 소수 표현,유리수와 소수 표현의 관계,다음 중 정수가 아닌 유리수는 모두 몇 개인가?,"$\pi, \quad-\frac{6}{3}, \quad 1. 5 \dot{8}, \quad 0, \quad 2. 4, \quad \frac{2}{7}$","[[57.120000000000005, 69.15, 528.64, 141.23]]",③ $3$개,"$\pi$는 유리수가 아니고 $-\frac{6}{3}=-2$ 이고, $0$은 정수이다. 따라서 정수가 아닌 유리수는 $1. 5 \dot{8}, 2. 4, \frac{2}{7}$의 $3$개이다.",,,,,
S3_중등_2_001648,객관식,하,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,2. 순환소수의 분수 표현,순환소수를 분수로 변환 - 식 세우기,다음 보기 중 순환소수 $x=0. 2999 \cdots$에 대한 설명으로 옳은 것을 모두 고르면?,"ㄱ. $x=0. 2+0. \dot{0} \dot{9}$이다. ㄴ. 순환마디는 9이다. ㄷ. $x=0. \dot{2} \dot{9}$로 나타낸다. ㄹ. 분수로 고칠 때, 식 $100 x-10 x$가 편리하다.","[[62.23, 94.54, 534.55, 274.82]]","⑤ ㄴ, ㄹ",ㄱ. $x=0. 2+0. 0\dot{9}$ ㄷ. $x=0. 2 \dot{9}$로 나타낸다.,,,,,
S3_중등_2_001649,객관식,중,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,1. 유리수의 소수 표현,유한소수 판별 - 분모의 소인수 조건,"다음 분수를 소수로 나타낼 때, 유한소수인 것은 모두 몇 개인가?","$\frac{1}{2}, \quad \frac{1}{3}, \quad \frac{5}{6}, \quad \frac{9}{12}, \quad \frac{15}{24}, \quad \frac{35}{28}$","[[98, 99.92, 408, 145.92]]",④ 4 개,"기익분수의 분모의 소인수가 2 나 5 뿐인 것을 찾으면 $\frac{1}{2}, \frac{9}{12}=\frac{3}{2^{2}}, \frac{15}{24}=\frac{5}{2^{3}}, \frac{35}{28}=\frac{5}{2^{2}}$의 4개이다.",,,,,
S3_중등_2_001650,객관식,중,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,1. 유리수의 소수 표현,유리수와 소수 표현의 관계,다음 보기 중 옳은 것은?,ㄱ. 소수는 유한소수와 순환소수로 나눌 수 있다. ㄴ. 모든 순환소수는 분수로 나타낼 수 있다. ㄷ. 유한소수 중에는 유리수가 아닌 것도 있다.,"[[59.34, 58.86, 421.83, 141.3]]",② ㄴ,ㄱ. 소수는 유한소수와 무한소수로 나눌 수 있다. ㄴ. 모든 순활소수는 유리수이므로 분수로 나타낼 수 있다. ㄷ. 모든 유한소수는 유리수이다. 따라서 옳은 것은 ㄴ이다.,,,,,
S3_중등_2_001651,객관식,상,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,2. 순환소수의 분수 표현,순환소수의 크기 비교와 범위 판단,다음 중 부등식 $\frac{1}{6}<x \leq \frac{1}{2}$을 만족시키는 것은 모두 몇 개인가?,"$0. \dot{1}, \quad 0. 1 \dot{9}, \quad 0. \dot{3}, \quad 0. \dot{4}, \quad 0. 4 \dot{5}, \quad 0. \dot{5}$","[[102.52, 83.92, 394.52, 121.52]]",③ 4 개,"$\frac{1}{6}<x \leq \frac{1}{2}$에서 $0. 166 \cdots<x \leq 0. 5$ 이므로 부등식을 만족시키는 $x$는 $0. 1\dot{9}, 0. \dot{3}, 0. \dot{4}, 0. 4 \dot{5}$의 4개이다.",,,,,
S3_중등_2_001766,객관식,하,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,1. 유리수의 소수 표현,유한소수 판별 - 분모의 소인수 조건,다음 분수 중 유한소수로 나타낼 수 있는 것은? [3점],다음 분수 중 유한소수로 나타낼 수 있는 것은? [3점] ① $\frac{21}{3^{3} \times 7}$ ② $\frac{35}{2^{2} \times 3 \times 7}$ ④ $\frac{26}{3 \times 5 \times 13}$ ⑤ $\frac{14}{3^{3} \times 7^{2}}$ $\frac{54}{2^{3}\times 3^{3}\times 5}$,"[[64.34, 114.57, 524.0, 279.54]]",$\frac{54}{2^{3}\times 3^{3}\times 5}$,"① $\frac{1}{3^{2}}$, 무한소수 ② $\frac{5}{2^{2} \times 3}$, 무한소수 ③ $\frac{1}{2^{2} \times 5}$, 유한소수 ④ $\frac{2}{3 \times 5}$, 무한소수 ⑤ $\frac{2}{3^{3} \times 7}$, 무한소수",mixed_with_image,recovered,$\frac{54}{2^{3}\times 3^{3}\times 5}$,True,"[{""class_name"": ""정답(이미지)"", ""bbox"": [425.0, 167.0, 524.0, 221.0]}]"
S3_중등_2_001783,객관식,중,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,1. 유리수의 소수 표현,유한소수 판별 - 분모의 소인수 조건,"다음 분수 중 소수로 고쳤을 때, 유한소수로 나타낼 수 있는 것은?","다음 분수 중 소수로 고쳤을 때, 유한소수로 나타낼 수 있는 것은? ① $\frac{25}{48}$ ② $\frac{12}{375}$ ③ $\frac{14}{2 \times 3 \times 5^{2}}$ ④ $\frac{10}{2^{2} \times 5 \times 7}$ ⑤ $\frac{3 \times 5}{2^{3} \times 3^{2} \times 5}$","[[56, 24.92, 535, 227.5]]",② $\frac{12}{375}$,기약분수의 분모의 소인수가 2 나 5 뿐이면 그 분수는 유한소수로 나타낼 수 있다. ① $\frac{5^{2}}{2^{4} \times 3}$ ② $\frac{12}{375}=\frac{4}{125}=\frac{2^{2}}{5^{3}}$ ③ $\frac{7}{3 \times 5^{2}}$ ④ $\frac{1}{2 \times 7}$ ⑤ $\frac{1}{2^{3} \times 3}$,mixed_with_image,recovered,② $\frac{12}{375}$,True,"[{""class_name"": ""오답(이미지)"", ""bbox"": [56, 110.5, 122, 164.5]}, {""class_name"": ""정답(이미지)"", ""bbox"": [215, 111.5, 291, 162.5]}, {""class_name"": ""오답(이미지)"", ""bbox"": [368, 110.5, 499, 167.5]}, {""class_name"": ""오답(이미지)"", ""bbox"": [60, 172.5, 349, 227.5]}, {""class_name"": ""오답(이미지)"", ""bbox"": [60, 172.5, 349, 227.5]}]"
S3_중등_2_001784,객관식,중,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,2. 순환소수의 분수 표현,순환소수를 분수로 변환 - 식 세우기,"다음 중 순환소수 $x=1. 6103$을 분수로 나타낼 때, 필요한 가장 적당한 식은?","다음 중 순환소수 $x=1. 6103$을 분수로 나타낼 때, 필요한 가장 적당한 식은? ① $100 x-x$ ② $100 x-10 x$ ③ $1000 x-10 x$ ④ $1000 x-100 x$ ⑤ $10000 x-10 x$","[[56.74, 22.24, 530.98, 199.87]]",⑤ $10000 x-10 x$,"따라서 필요한 가장 적당한 식은 ⑤ $10000 x-10 x$ 이다. | $ \begin{array}{l|l} x &= 1. 6103 = 1. 6103103103 \cdots 이므로\\ \hline 10000x &= 16103. 103103 \cdots \\ \hline - \, 10x &= 16. 103103 \cdots \\ \hline 9990x &= 16087 \\ \hline 즉, \, x &= \frac{16087}{9990} \end{array} $",text,recovered,⑤ $10000 x-10 x$,True,
